

0	337	127	11	21	49.5	39

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	337	129	11	21	49.5	40

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	338	129	11	21	49.5	41

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	338	129	11	21	49.5	42

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	338	130	11	21	49.5	43

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	338	130	11	21	49.5	44

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	338	130	11	21	49.5	45

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	340	131	11	21	49.5	46
1	214	3	17	21	131.0	46

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	340	131	11	21	49.5	47
1	214	3	17	21	131.0	47

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	342	132	11	21	49.5	48
1	214	5	17	21	133.0	48

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	344	134	11	21	44.5	49
1	215	7	17	21	133.0	49

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	345	136	11	21	49.5	50
1	217	7	17	21	133.0	50

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	346	136	10	21	48.0	51
1	217	7	17	21	133.0	51

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	346	137	11	21	49.5	52
1	217	9	17	21	133.0	52

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	346	137	11	21	49.5	53
1	217	9	17	21	133.0	53

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	346	138	11	21	49.5	54
1	219	9	17	21	133.0	54

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	8	246	19	21	116.0	55
1	346	138	11	21	49.5	55
2	221	9	17	21	133.0	55

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	8	247	19	21	116.0	56
1	347	140	10	19	43.5	56
2	221	11	17	21	133.0	56

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	8	249	19	21	117.0	57
1	348	141	9	17	39.5	57
2	221	13	17	21	133.0	57

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	10	251	19	21	117.0	58
1	350	143	8	14	30.0	58
2	222	14	17	21	133.0	58

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	12	251	19	21	117.0	59
1	349	163	2	2	1.0	59
1	353	144	6	11	23.0	59
1	222	16	17	21	133.0	59

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	13	252	19	21	122.5	60
1	348	162	5	5	9.0	60
1	354	146	5	8	16.0	60
1	224	18	17	21	133.0	60

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	15	254	19	21	120.5	61
1	351	159	6	10	20.5	61
1	357	148	3	4	4.0	61
1	224	18	17	21	133.0	61

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	17	254	19	21	119.5	62
1	351	159	6	10	20.5	62
1	357	148	3	4	4.0	62
1	225	18	17	21	133.0	62

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	17	255	19	21	120.0	63
1	352	157	7	12	25.0	63
1	359	148	2	2	1.0	63
1	225	18	17	21	133.0	63

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	19	257	19	21	120.0	64
1	352	156	9	15	34.5	64
2	226	19	17	21	133.0	64

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	20	259	19	21	121.5	65
1	354	154	10	17	40.0	65
2	226	20	17	21	133.0	65

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	21	261	19	21	121.5	66
1	355	153	10	18	42.0	66
2	227	20	17	21	133.0	66

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	21	261	19	21	121.5	67
1	356	152	11	21	49.5	67
2	227	21	17	21	133.0	67

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	21	261	19	21	121.5	68
1	356	153	11	21	49.5	68
2	227	23	17	21	133.0	68

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	23	262	19	21	122.5	69
1	358	154	11	21	49.5	69
2	227	25	17	21	133.0	69

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	23	264	19	21	122.5	70
1	359	154	11	21	49.5	70
2	229	27	17	21	133.0	70

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	23	265	19	21	120.0	71
1	360	156	11	21	49.5	71
2	229	27	17	21	133.0	71

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	23	266	19	21	121.5	72
1	360	156	11	21	49.5	72
2	229	27	17	21	132.0	72

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	24	267	19	21	121.5	73
1	360	157	11	21	49.5	73
2	229	27	17	21	132.0	73

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	25	269	19	21	121.5	74
1	360	158	11	21	49.5	74
2	231	27	17	21	132.0	74

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	27	269	19	21	121.5	75
1	360	160	11	21	49.5	75
2	231	27	17	21	132.0	75

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	27	270	19	21	121.5	76
1	360	161	11	20	48.0	76
2	231	27	17	21	132.0	76

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	28	270	19	21	121.5	77
1	360	160	11	21	49.5	77
2	233	28	17	21	132.0	77

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	29	272	19	21	121.5	78
1	362	161	11	21	49.5	78
2	233	30	17	21	132.0	78

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	29	272	19	21	121.5	79
1	362	161	11	21	49.5	79
2	233	31	17	21	132.0	79

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	29	274	19	21	121.5	80
1	363	162	11	21	49.5	80
2	233	32	17	21	132.0	80

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	31	274	19	21	121.5	81
1	364	162	11	21	49.5	81
2	233	32	17	21	132.0	81

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	32	274	19	21	119.5	82
1	364	162	11	21	49.5	82
2	233	32	17	21	132.0	82

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	33	274	19	21	119.5	83
1	365	162	11	21	49.5	83
2	233	33	17	21	132.0	83

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	33	274	19	21	120.0	84
1	367	162	11	21	49.5	84
2	235	33	17	21	132.5	84

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	33	274	19	21	120.0	85
1	368	164	10	21	48.0	85
2	236	35	17	21	131.5	85

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	34	274	19	21	120.0	86
1	368	166	10	21	48.0	86
2	236	35	17	21	131.5	86

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	36	274	19	21	120.0	87
1	368	167	10	21	48.0	87
2	237	35	17	21	130.5	87

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	36	274	19	21	120.0	88
1	368	169	11	21	49.5	88
2	238	37	17	21	131.0	88

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	37	274	19	21	120.0	89
1	370	171	11	21	49.5	89
2	239	38	17	21	130.0	89

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	37	274	19	21	120.0	90
1	370	172	11	21	49.5	90
2	240	38	17	21	131.0	90

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	39	274	19	21	120.0	91
1	371	174	11	21	49.5	91
2	240	39	17	21	131.0	91

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	39	274	19	21	119.0	92
1	373	176	11	21	49.5	92
2	240	39	17	21	131.0	92

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	41	274	19	21	119.0	93
1	373	176	11	21	49.5	93
2	240	39	17	21	131.0	93

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	43	276	19	21	119.0	94
1	373	177	11	21	49.5	94
2	240	39	17	21	131.0	94

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	45	276	19	21	119.0	95
1	374	179	10	21	48.0	95
2	241	40	17	21	130.0	95

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	276	19	21	119.0	96
1	374	180	11	21	49.5	96
2	241	40	17	21	133.0	96

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	46	276	19	21	119.0	97
1	374	181	11	21	49.5	97
2	243	41	17	21	132.0	97

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	48	277	19	21	119.0	98
1	376	183	11	21	49.5	98
2	244	43	17	21	133.0	98

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	49	278	19	21	119.0	99
1	377	184	11	21	49.5	99
2	245	43	17	21	133.0	99

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	49	278	19	21	119.0	100
1	379	184	11	21	49.5	100
2	247	44	17	21	133.0	100

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	51	279	19	21	119.0	101
1	381	184	11	21	49.5	101
2	249	44	17	21	133.0	101

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	51	279	19	21	119.0	102
1	381	185	11	21	49.5	102
2	249	46	17	21	133.0	102

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	53	279	19	21	119.0	103
1	382	187	11	21	49.5	103
2	250	47	17	21	132.0	103

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	55	280	19	21	119.0	104
1	382	189	11	21	49.5	104
2	250	48	17	21	134.0	104

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	57	280	19	21	119.0	105
1	383	190	11	21	49.5	105
2	252	50	17	21	134.5	105

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	59	280	19	21	119.0	106
1	384	191	11	21	49.5	106
2	254	51	17	21	130.0	106

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	59	280	19	21	119.0	107
1	386	192	11	20	48.0	107
2	254	53	17	21	131.0	107

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	59	280	19	21	121.5	108
1	387	191	11	21	49.5	108
2	256	55	17	21	133.5	108

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	59	280	19	21	121.5	109
1	387	191	11	21	49.5	109
2	256	55	17	21	133.5	109

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	61	280	19	21	121.5	110
1	387	193	11	21	49.5	110
2	256	56	17	21	133.5	110

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	63	280	19	21	121.5	111
1	387	193	11	21	49.5	111
2	256	56	17	21	133.5	111

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	63	281	19	21	121.5	112
1	387	193	11	21	49.5	112
2	256	58	17	21	133.5	112

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	63	283	19	21	122.5	113
1	387	193	11	21	49.5	113
2	256	59	17	21	133.5	113

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	65	283	19	21	122.5	114
1	387	195	11	21	49.5	114
2	256	61	17	21	133.5	114

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	65	285	19	21	122.5	115
1	388	196	11	21	49.5	115
2	256	63	17	21	133.5	115

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	67	285	19	21	122.5	116
1	390	198	11	21	49.5	116
2	257	64	17	21	133.5	116

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	67	285	19	21	122.5	117
1	391	200	10	21	48.0	117
2	257	65	17	21	133.5	117

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	69	287	19	21	122.5	118
1	391	201	10	21	48.0	118
2	259	66	17	21	133.5	118

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	70	287	19	21	122.5	119
1	391	202	10	21	48.0	119
2	259	68	17	21	133.5	119

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	70	288	19	21	122.5	120
1	391	203	11	21	49.5	120
2	259	69	17	21	133.5	120

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	72	288	19	21	122.5	121
1	392	203	11	21	49.5	121
2	259	70	17	21	133.5	121

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	72	290	19	21	122.5	122
1	394	204	11	21	49.5	122
2	260	71	17	21	133.5	122

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	74	291	19	21	122.5	123
1	394	204	11	21	49.5	123
2	261	72	17	21	133.5	123

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	75	291	19	21	122.5	124
1	395	205	10	21	48.0	124
2	261	74	17	21	133.5	124

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	75	291	19	21	122.5	125
1	396	205	11	21	49.5	125
2	263	75	17	21	133.5	125

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	77	292	19	21	122.5	126
1	398	206	10	21	48.0	126
2	263	75	17	21	133.5	126

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	77	293	19	21	122.5	127
1	398	207	10	21	48.0	127
2	263	77	17	21	133.5	127

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	78	293	19	21	122.5	128
1	398	207	11	21	49.5	128
2	264	78	17	21	133.5	128

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	78	293	19	21	122.5	129
1	398	208	11	21	49.5	129
2	265	78	17	21	133.5	129

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	79	293	19	21	122.5	130
1	398	208	11	21	49.5	130
2	266	78	17	21	133.5	130

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	80	293	19	21	122.5	131
1	398	209	11	21	49.5	131
2	267	80	17	21	133.5	131

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	80	293	19	21	121.0	132
1	398	211	11	21	49.5	132
2	268	80	17	21	134.0	132

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	80	295	19	21	121.0	133
1	398	212	11	21	49.5	133
2	268	80	17	21	134.0	133

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	134
1	398	214	11	21	49.5	134
2	270	80	17	21	133.0	134

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	135
1	398	214	11	21	49.5	135
2	270	80	17	21	133.0	135

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	136
1	402	215	9	18	41.0	136
2	271	82	17	21	133.0	136

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	82	298	19	21	121.0	137
1	404	217	8	16	36.0	137
2	273	82	17	21	133.0	137

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	299	19	21	121.0	138
1	402	236	4	4	6.5	138
1	405	219	8	15	34.0	138
2	273	84	17	21	133.0	138

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	300	19	21	121.0	139
1	403	219	11	21	47.0	139
2	273	84	17	21	133.0	139

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	302	19	21	121.0	140
1	405	219	11	21	49.5	140
2	273	86	17	21	133.0	140

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	302	19	21	121.0	141
1	406	220	11	21	49.5	141
2	273	86	17	21	133.0	141

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	85	303	19	21	121.0	142
1	408	222	11	21	49.5	142
2	273	86	17	21	133.0	142

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	85	303	19	21	121.0	143
1	410	224	10	21	48.0	143
2	273	88	17	21	133.0	143

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	86	304	19	21	122.5	144
1	411	226	11	21	49.5	144
2	274	90	17	21	132.5	144

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	88	304	19	21	122.5	145
1	413	227	11	21	49.5	145
2	276	92	17	21	132.5	145

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	90	305	19	21	120.0	146
1	413	227	11	21	49.5	146
2	278	93	17	21	131.5	146

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	306	19	21	121.5	147
1	413	229	11	21	49.5	147
2	280	93	17	21	131.5	147

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	307	19	21	121.5	148
1	413	229	11	21	49.5	148
2	280	93	17	21	132.5	148

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	309	19	21	121.0	149
1	414	230	11	21	49.5	149
2	282	94	17	21	131.0	149

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	310	19	21	121.0	150
1	414	230	11	21	49.5	150
2	284	95	17	21	131.0	150

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	310	19	21	121.0	151
1	416	230	11	21	49.5	151
2	285	96	17	21	131.0	151

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	94	310	19	21	121.0	152
1	417	231	11	21	49.5	152
2	286	97	17	21	131.0	152

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	153
1	417	233	11	21	49.5	153
2	288	97	17	21	131.0	153

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	154
1	419	234	11	21	49.5	154
2	290	99	17	21	131.0	154

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	155
1	420	236	11	21	49.5	155
2	292	100	17	21	131.0	155

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	96	311	19	21	120.0	156
1	420	237	11	21	49.5	156
2	292	102	17	21	133.5	156

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	98	311	19	21	120.0	157
1	420	237	11	21	49.5	157
2	292	104	17	21	133.5	157

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	100	312	19	21	120.0	158
1	421	237	11	21	49.5	158
2	293	105	17	21	133.5	158

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	100	312	19	21	120.0	159
1	423	237	11	21	49.5	159
2	293	107	17	21	133.5	159

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	101	312	19	21	120.0	160
1	423	237	11	21	49.5	160
2	293	107	17	21	133.5	160

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	102	313	19	21	120.0	161
1	423	238	11	21	49.5	161
2	295	107	17	21	133.5	161

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	102	313	19	21	120.0	162
1	424	240	11	21	49.5	162
2	295	109	17	21	133.5	162

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	103	313	19	21	120.0	163
1	424	241	11	21	49.5	163
2	296	109	17	21	133.5	163

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	104	315	19	21	120.0	164
1	425	241	11	21	49.5	164
2	296	111	17	21	133.5	164

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	105	317	19	21	121.5	165
1	426	243	10	21	48.0	165
2	298	112	17	21	133.5	165

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	107	319	19	21	120.5	166
1	426	243	11	21	49.5	166
2	299	113	17	21	133.5	166

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	107	320	19	21	122.5	167
1	427	243	11	21	49.5	167
2	299	114	17	21	133.5	167

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	108	320	19	21	119.5	168
1	427	243	11	21	49.5	168
2	301	115	17	21	132.0	168

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	110	320	19	21	119.5	169
1	427	245	11	21	49.5	169
2	301	117	17	21	132.0	169

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	112	320	19	21	119.5	170
1	427	246	11	21	49.5	170
2	302	117	17	21	133.0	170

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	113	320	19	21	119.5	171
1	428	246	11	21	49.5	171
2	302	117	17	21	132.0	171

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	320	19	21	119.5	172
1	428	246	11	21	49.5	172
2	304	117	17	21	133.0	172

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	321	19	21	119.5	173
1	428	246	11	21	49.5	173
2	305	118	17	21	132.5	173

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	323	19	21	119.5	174
1	430	246	11	21	49.5	174
2	306	120	17	21	132.5	174

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	116	325	19	21	119.5	175
1	430	248	11	21	49.5	175
2	306	121	17	21	132.5	175

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	116	326	19	21	119.5	176
1	431	249	11	21	49.5	176
2	306	122	17	21	131.5	176

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	117	327	19	21	119.5	177
1	432	250	11	21	49.5	177
2	306	123	17	21	131.5	177

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	119	328	19	21	119.5	178
1	432	250	11	21	49.5	178
2	308	123	17	21	131.5	178

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	121	328	19	21	119.5	179
1	433	250	11	21	49.5	179
2	310	125	17	21	131.5	179

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	121	328	19	21	121.0	180
1	434	250	11	21	49.5	180
2	310	125	17	21	133.0	180

